UI_ID,UI_Name,UI_img_name,UI_Folder_name,User_Target,Target_App,UI_Description,App_Config_variable,UI_Modification_Requested,UI_General_Modification_Requested-Modification_App_wide,Comment,Base_URL_Folder,Base_URL,UI_img_URL
11,,Screenshot_2026-02-11-19-50-42-139.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-50-42-139.jpg
12,,Screenshot_2026-02-11-19-51-00-818.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-51-00-818.jpg
13,,Screenshot_2026-02-11-19-51-28-144.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-51-28-144.jpg
14,,Screenshot_2026-02-11-19-52-13-105.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-52-13-105.jpg
15,,Screenshot_2026-02-11-19-52-14-105.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-52-14-105.jpg
16,,Screenshot_2026-02-11-19-52-49-013.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-52-49-013.jpg
17,,Screenshot_2026-02-11-19-53-37-106.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-53-37-106.jpg
18,,Screenshot_2026-02-11-19-53-57-285.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-53-57-285.jpg
19,,Screenshot_2026-02-11-19-55-31-617.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-55-31-617.jpg
20,,Screenshot_2026-02-11-19-55-50-453.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-19-55-50-453.jpg
21,,Screenshot_2026-02-11-20-00-54-346.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-20-00-54-346.jpg
22,,Screenshot_2026-02-11-20-01-54-346.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-20-01-54-346.jpg
23,,Screenshot_2026-02-11-20-10-32-614.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-20-10-32-614.jpg
24,,Screenshot_2026-02-11-20-12-54-806.jpg,Screenshot Wave,Customer,TipTop Transfer,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave/Screenshot_2026-02-11-20-12-54-806.jpg
25,,Screenshot_2026-02-11-20-21-02-946.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-02-946.jpg
26,,Screenshot_2026-02-11-20-21-02-946.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-02-946.jpg
27,,Screenshot_2026-02-11-20-21-02-947.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-02-947.jpg
28,,Screenshot_2026-02-11-20-21-02-947.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-02-947.jpg
29,,Screenshot_2026-02-11-20-21-03-947.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-03-947.jpg
30,,Screenshot_2026-02-11-20-21-03-947.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-21-03-947.jpg
31,,Screenshot_2026-02-11-20-33-44-368.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-33-44-368.jpg
32,,Screenshot_2026-02-11-20-33-44-368.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-33-44-368.jpg
33,,Screenshot_2026-02-11-20-34-38-661.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-34-38-661.jpg
34,,Screenshot_2026-02-11-20-34-38-661.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-34-38-661.jpg
35,,Screenshot_2026-02-11-20-35-21-128.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-35-21-128.jpg
36,,Screenshot_2026-02-11-20-35-21-128.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-35-21-128.jpg
37,,Screenshot_2026-02-11-20-35-45-135.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-35-45-135.jpg
38,,Screenshot_2026-02-11-20-35-45-135.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-35-45-135.jpg
39,,Screenshot_2026-02-11-20-36-32-694.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-36-32-694.jpg
40,,Screenshot_2026-02-11-20-36-32-694.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-36-32-694.jpg
41,,Screenshot_2026-02-11-20-36-58-564.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-36-58-564.jpg
42,,Screenshot_2026-02-11-20-36-58-564.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-36-58-564.jpg
43,,Screenshot_2026-02-11-20-37-38-253.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-37-38-253.jpg
44,,Screenshot_2026-02-11-20-37-38-253.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-37-38-253.jpg
45,,Screenshot_2026-02-11-20-38-19-059.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-38-19-059.jpg
46,,Screenshot_2026-02-11-20-38-19-059.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-38-19-059.jpg
47,,Screenshot_2026-02-11-20-38-19-060.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-38-19-060.jpg
48,,Screenshot_2026-02-11-20-38-19-060.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-38-19-060.jpg
49,,Screenshot_2026-02-11-20-39-12-571.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-12-571.jpg
50,,Screenshot_2026-02-11-20-39-12-571.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-12-571.jpg
51,,Screenshot_2026-02-11-20-39-33-459.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-33-459.jpg
52,,Screenshot_2026-02-11-20-39-33-459.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-33-459.jpg
53,,Screenshot_2026-02-11-20-39-34-459.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-34-459.jpg
54,,Screenshot_2026-02-11-20-39-34-459.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-39-34-459.jpg
55,,Screenshot_2026-02-11-20-43-31-709.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-43-31-709.jpg
56,,Screenshot_2026-02-11-20-43-31-709.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-43-31-709.jpg
57,,Screenshot_2026-02-11-20-44-01-526.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-44-01-526.jpg
58,,Screenshot_2026-02-11-20-44-01-526.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-44-01-526.jpg
59,,Screenshot_2026-02-11-20-44-43-362.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-44-43-362.jpg
60,,Screenshot_2026-02-11-20-44-43-362.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-44-43-362.jpg
61,,Screenshot_2026-02-11-20-46-20-070.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-46-20-070.jpg
62,,Screenshot_2026-02-11-20-46-20-070.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-46-20-070.jpg
63,,Screenshot_2026-02-11-20-46-20-071.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-46-20-071.jpg
64,,Screenshot_2026-02-11-20-46-20-071.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-46-20-071.jpg
65,,Screenshot_2026-02-11-20-47-53-039.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-47-53-039.jpg
66,,Screenshot_2026-02-11-20-47-53-039.jpg,Screenshot Wave Business,Business,TipTop Transfer Business,,,,,,https://ttt-mobileapp.fwh.is/Main/,Screenshot%20Wave%20Business/,https://ttt-mobileapp.fwh.is/Main/Screenshot%20Wave%20Business/Screenshot_2026-02-11-20-47-53-039.jpg
